Name,Type of Agency,Tagline,Ratings,Reviews,Sponsor,MinProjectSize,HourlyRate,TeamSize,Location,ServiceNames,ServicePercentages,Feedback,WebsiteLink,ClutchDirectoryLink
Saviesa Home,Interior Design,Crafting your home.,,,No,Undisclosed,Undisclosed,10 - 49,"Thane, India",Interior Design,100,Saviesa Home Improvement is founded and run hands-on by pioneers in the field of modular kitchens and modular wardrobes in India. The Saviesa are people who have mastered their area of expertise and…,https://www.saviesahome.com/,https://clutch.co/profile/saviesa-home
Anouska Tamony Designs,Interior Design,"Warm, soulful and elegant interiors",,,No,Undisclosed,Undisclosed,2 - 9,"London, United Kingdom","Interior Design,Architectural Design,Out of Home Design","80,15,5","Anouska established her eponymous Studio with the founding inspiration to create deeply intimate homes that tell a personal story and act as an expressive backdrop to daily life, playful moments and…",https://www.anouskatamony.com/,https://clutch.co/profile/anouska-tamony-designs
Soleil Building Contracting LLC,Interior Design,We specialize in all kinds of construction project,,,No,"$5,000+",$25 - $49 / hr,"1,000 - 9,999","Dubai, United Arab Emirates","Interior Design,Commercial Property Management,Architectural Design","35,45,20",Soleil is one of the most promising names that comes to mind when we talk about the best interior fit-out solutions in Dubai. With over two decades of professional experience in making several…,https://soleil-me.com/,https://clutch.co/profile/soleil-building-contracting
9 Creation Pte. Ltd. @ Tradehub 21,Interior Design,Interior Designer,,,No,Undisclosed,Undisclosed,50 - 249,"Singapore, Singapore",Interior Design,100,9Creations aims to render the best interior design services across Singapore. Their professional team of interior designers has served many clients across the area of Jurong East. 9Creations offers…,https://9creation.com.sg/,https://clutch.co/profile/9-creation-pte-tradehub-21
Style Plus Space Interior Design,Interior Design,Affordable and original interior design solutions!,,,No,Undisclosed,Undisclosed,10 - 49,"Singapore, Singapore",Interior Design,100,Style + Space has a team of highly skilled and experienced best interior designers in Singapore that can combine style and function for the perfect living space to fit your lifestyle needs. Our team…,https://www.style-plus-space.com/,https://clutch.co/profile/style-plus-space-interior-design
D&R Furnishers,Interior Design,Furnishers,,,No,Undisclosed,Undisclosed,10 - 49,"Marlborough, United Kingdom",Interior Design,100,"D&R Furnishers – Established in Marlborough since 1958 (formerly named Dible & Roy). We’re a family run business offering a professional, friendly, extensive service based on…",https://dandrfurnishers.co.uk/,https://clutch.co/profile/dr-furnishers
Yash Interior,Interior Design,Best Interior Designers In Delhi,,,No,"$10,000+",Undisclosed,50 - 249,"New Delhi, India",Interior Design,100,Yash Interior is the best interior designers in Delhi. Yash Interior & Constructions has over 28 years of experience in interior design and home renovation. Yash Interior & Constructions…,https://yashinterior.in/,https://clutch.co/profile/yash-interior
DENTON,Interior Design,Discover | Design | Deliver,,,No,Undisclosed,Undisclosed,50 - 249,"London, United Kingdom","Interior Design,Commercial Development","80,20","We are DENTON, and we aim to create innovative and creative workspaces that deliver real value for money. We have been trading for over 26 years and have designed and built some outstanding projects…",https://www.denton.co.uk/,https://clutch.co/profile/denton
Skirrow Design Build,Interior Design,Home Remodeling & Deck Builders in Milwaukee,,,No,"$5,000+",$25 - $49 / hr,2 - 9,"Brookfield, WI",Interior Design,100,"Skirrow Design Build is a leader in home remodeling, specializing in kitchen and bath remodeling, building custom additions and new homes, and constructing decks in the greater Milwaukee area since…",https://www.skirrowbuild.com/,https://clutch.co/profile/skirrow-design-build
Amazing Detailed Interior LLC,Interior Design,Bringing your visions to life with exceptional det,,,No,Undisclosed,Undisclosed,Freelancer,"New York, NY",Interior Design,100,"We are Amazing Detailed Interior, a company that provides general contracting services in Sutton, UK. Our services include project management, interior design, carpentry, electrical work, plumbing,…",https://cbsservicesusa.com/amazing-construction/remodeling-services-sutton/,https://clutch.co/profile/amazing-detailed-interior
Top 10 Interior Design Company in Chennai Eps Industries Tamilnadu India,Interior Design,Interior Design in Chennai,,,No,"$1,000+",$25 - $49 / hr,50 - 249,"Chennai, India",Interior Design,100,"EPS interior Designers in chennai incorporated in the year 2002 and we are a Chennai based interior design, Decoration & Manufacturing Company. We don't compromise in product quality and on time…",https://www.epsinteriorindustries.com/,https://clutch.co/profile/top-10-interior-design-company-chennai-eps-industries-tamilnadu-india
Idea Painting Company,Interior Design,Top-Rated Medfield Painting Company,,,No,Undisclosed,Undisclosed,10 - 49,"Medfield, MA",Interior Design,100,"As a highly experienced and trusted Medfield painters, Idea Painting Company aims to exceed your expectations, no matter the job. As a local painting company and industry leader, Idea Painting…",https://ideapaintingcompany.com/,https://clutch.co/profile/idea-painting-company
Wagma Designs,Interior Design,Interior Designers In Delhi NCR,,,No,Undisclosed,Undisclosed,10 - 49,"Gurugram, India",Interior Design,100,"Wagma Designs are among the Best Interior Designers In Gurgaon. For the last 20 years, we have been designing and executing flawless, award-winning, luxury interiors for residential, Offices and…",https://wagmadesigns.com/,https://clutch.co/profile/wagma-designs
Karry Home Solutions,Interior Design,Home Renovations Contractor,,,No,Undisclosed,Undisclosed,2 - 9,"Brampton, Canada",Interior Design,100,"At Karry, we create turnkey home renovations in Brampton that are designed for our clients’ needs. With nearly 40 years of experience, we listen, design and build custom kitchens, bathrooms,…",https://karry.ca/,https://clutch.co/profile/karry-home-solutions
Cosywood,Interior Design,Bespoke wooden furniture,,,No,"$1,000+",$50 - $99 / hr,50 - 249,"London, United Kingdom",Interior Design,100,"We’ve been working in the UK’s fine furniture market since 2014. We have since expanded our business beyond the UK, delivering products to Germany, Italy, Spain, France, the Netherlands,…",https://cosywood.co.uk/,https://clutch.co/profile/cosywood
Klick Technology LTD,Interior Design,Trusted Laboratory and Educational Specialists,,,No,Undisclosed,Undisclosed,10 - 49,"Wythenshawe, United Kingdom",Interior Design,100,"Klick are experts in both the supply and fit out of furniture for laboratories and specialist interiors – focussing on the educational and commercial sectors.
Klick are a long-established…",https://www.klicktechnology.co.uk/,https://clutch.co/profile/klick-technology
Noble Garden Design,Interior Design,Landscape Paver Design - Noble Garden Design,,,No,"$1,000+",< $25 / hr,10 - 49,"Weymouth, MA",Interior Design,100,"Landscape pavers design are typically utilized in dry laid patterns. They can be impressive imitation of natural stone, their homogeneity in broad streches may appear unnatural. We noble garden…",https://noblegardendesign.com/,https://clutch.co/profile/noble-garden-design
Articulated Design Studio,Interior Design,Connecting more than traditional interior design.,,,No,"$25,000+",$100 - $149 / hr,2 - 9,"Vancouver, Canada",Interior Design,100,"Articulated Design Studio offers full-service design and online design packages from base in beautiful Vancouver, B.C. As an integrated practice with an award-winning portfolio, our talented team has…",https://articulated.studio/,https://clutch.co/profile/articulated-design-studio
Design Pros USA,Interior Design,Design Pros USA,5.0,1 REVIEW,No,"$1,000+",$25 - $49 / hr,50 - 249,"Houston, TX","Interior Design,Logo,Web Design","40,30,30",Design Pros USA is a digital agency that focuses on providing digital solutions for all of your company's needs. It also offers its consumers the greatest customer service in the industry. The…,https://designprosusa.com/,https://clutch.co/profile/design-pros-usa-0
le design studio,Interior Design,"Interior Design Firm in Quebec, Canada",,,No,"$1,000+",$100 - $149 / hr,2 - 9,"Québec, Canada",Interior Design,100,"Le design studio is an interior design company specializing in commercial layout for retail and service businesses, corporate offices, restaurants, health services and government agencies. Design…",https://ledesignstudio.com/,https://clutch.co/profile/le-design-studio
Doucet - Watts & Davis Interiors Inc.,Interior Design,"Interioir Design Firm in Nova Scotia, Canada",,,No,Undisclosed,Undisclosed,2 - 9,"Halifax, Canada",Interior Design,100,With 25 years in business DWD Interiors create environments that are not only stunning but functional. Keeping our clients style and ideas in mind we mold their vision into reality. With three…,http://www.dwdinteriors.com/,https://clutch.co/profile/doucet-watts-davis-interiors
CCG Interiors,Interior Design,Interior Design & Business Planning.,,,No,Undisclosed,Undisclosed,10 - 49,"Salt Lake City, UT","Interior Design,Business Consulting","60,40","CCG has been reshaping the way our customers do business for over 20 years. Partnering with Haworth, OFS, National wood products and a host of other major furniture & architectural products. CCG…",http://ccgslc.com/,https://clutch.co/profile/ccg-interiors
Gailani Designs Inc.,Interior Design,Elegant. Stunning. Exquisite.,,,No,Undisclosed,Undisclosed,Freelancer,"Naperville, IL",Interior Design,100,"An Interior Design professional since 1992, Susan Gailani’s passion for beautiful textiles helped her focus her talent on the window covering industry. She has worked on residential and commercial…",http://gailanidesigns.com/,https://clutch.co/profile/gailani-designs
The Kitchen Master,Interior Design,Your Thoughts And Ideas Become Our Inspiration.,,,No,Undisclosed,Undisclosed,10 - 49,"Naperville, IL",Interior Design,100,A leading design-build firm specializing in state-of-the-art kitchen and bathroom remodeling. you can trust our team of certified designers and career craftsmen to give you the room you have always…,https://www.thekitchenmaster.com/,https://clutch.co/profile/kitchen-master
Kimberly Timmons Interiors,Interior Design,Interior Design,,,No,Undisclosed,Undisclosed,10 - 49,"Denver, CO",Interior Design,100,"For the last 25 years, KTI has been recognized as one of the top interior design fi rms in the country. Our three award-winning design studios — Hospitality, Interior Merchandising and Luxury…",https://ktinteriors.com/,https://clutch.co/profile/kimberly-timmons-interiors
Living with Lolo,Interior Design,local design and beyond e-design services,,,No,Undisclosed,Undisclosed,2 - 9,"Cave Creek, AZ",Interior Design,100,"My interior design style is eclectic and lies somewhere between transitional and modern. I love clean lines, mixing metals, bright and open spaces, pops of color, and showcasing timeless pieces that…",http://www.livingwithlolo.com/,https://clutch.co/profile/living-lolo
Contour Interiors,Interior Design,There’s No Place Like Work,,,No,Undisclosed,Undisclosed,10 - 49,"Melbourne, Australia",Interior Design,100,"Contour Interiors is a national interior design and consultancy firm, specialising in commercial office fitout and refurbishment. Contour is committed to the expansion of the use of activity-based…",http://www.contourinteriors.com.au/,https://clutch.co/profile/contour-interiors
Lindgren Landscape,Interior Design,"Landscape Company in Fort Collins, Colorado",,,No,Undisclosed,Undisclosed,50 - 249,"Fort Collins, CO",Interior Design,100,"We are an award winning landscape company established in 1995 with a focus on designing, creating, and maintaining custom outdoor living spaces.",https://www.lindgrenlandscape.com/,https://clutch.co/profile/lindgren-landscape
Design 4 Space Pte Ltd,Interior Design,Transforming spaces into captivating experiences,,,No,"$1,000+",$25 - $49 / hr,10 - 49,"Singapore, Singapore",Interior Design,100,"Design 4 Space is the best company for Interior Design in Singapore. Give your home a fresh and modern look with our innovative interior design ideas. We have a specialty in Home Renovation,…",http://www.design4space.com.sg/,https://clutch.co/profile/design-4-space-pte
Bombay Kitchen and Cabinets,Interior Design,Best Kitchen and Cabinet Manufacturer in Etobicoke,,,No,"$25,000+",$50 - $99 / hr,10 - 49,"Toronto, Canada",Interior Design,100,Bombay Kitchen and Cabinet team is always striving to develop our clients’ ideas. We work with all budgets. The interior design agency that focuses on bringing your vision to life. With more than 15…,https://bombaykitchencabinets.com/,https://clutch.co/profile/bombay-kitchen-cabinets
UK Interia Pvt Ltd,Interior Design,UK Interia Pvt Ltd,,,No,"$50,000+",$300+ / hr,50 - 249,"Gurugram, India","Interior Design,Architectural Design","65,35",Interia is a full-service Architecture and Interior Design company. Interia helps create luxury interiors for homes and comfortable working environments for corporate offices. Interia has in-house 33…,https://theinteria.com/,https://clutch.co/profile/uk-interia
Luxuryinterio,Interior Design,Top interior designer Patna,,,No,"$1,000+",< $25 / hr,50 - 249,"Patna, India",Interior Design,100,Luxury Interio is a Patna based interior designing company who delivers Residential and commercial both type of interior design with world-class designs and technology to satishfy the client's…,https://www.luxuryinterio.in/,https://clutch.co/profile/luxuryinterio
Innate Enterprises,Interior Design,Innate Enterprises specialize in the most refined,,,No,Undisclosed,Undisclosed,Freelancer,"New York, NY",Interior Design,100,"Innate Enterprises specialize in the most refined colored wire manufacturing. Moreover, we serve our valuable customers and giant corporations with various basic to specialty chemical products…",https://www.innateenterprises.com/,https://clutch.co/profile/innate-enterprises
Via Interior Design,Interior Design,Via Interior Design - Commercial & Healthcare,,,No,"$1,000+",$300+ / hr,2 - 9,"Guiseley, United Kingdom",Interior Design,100,"At Via Interior Design, we create inspiring commercial interior design using our expertise and eye for detail and how a space works. We listen to your requirements. Observe your interior design space…",https://www.viainteriors.co.uk/,https://clutch.co/profile/interior-design-0
Tanic Design,Interior Design,One of Abu Dhabi's best interior design Agency.,,,No,"$1,000+",$25 - $49 / hr,10 - 49,"Abu Dhabi, United Arab Emirates",Interior Design,100,Tanic is a Creative Interior design agency specialized in offering impactful interior designs for building structures. Aesthetics play a significant role in transforming the overall ambiance of the…,https://tanic.design/,https://clutch.co/profile/tanic-design
VC Interiors | The best interior designer in Trivandrum,Interior Design,VC Interiors | Interior designer in trivandrum,,,No,Undisclosed,Undisclosed,10 - 49,"Kazhakkoottam, India",Interior Design,100,"VC Interiors is a Trivandrum-based experiential design and furnishing agency driven by innovation and interaction. Each day, here at VC Interiors, as we set to work we derive…",https://vcinteriors.in/,https://clutch.co/profile/vc-interiors-best-interior-designer-trivandrum
Tribuz Projects Pvt. Ltd.,Interior Design,"Top Interior Designers and Decorators in Gurgaon,",,,No,"$1,000+",< $25 / hr,50 - 249,"Gurgaon, India",Interior Design,100,"Tribuz is a multidisciplinary company who bring the expertise to provide a complete luxury, interior design, and architectural services company.",https://www.tribuz.in/,https://clutch.co/profile/tribuz-projects
